,Laptop_BRAND,Laptop model name,Device color,Number of ratings,Number of reviews,RAM,ROM,DISPLAY,Discounted_Price,Original_Price,Discount %
136,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
137,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
138,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
139,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
140,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
141,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
142,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
143,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
144,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
145,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
146,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
147,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
148,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
149,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
150,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
151,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
152,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
153,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
154,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
155,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
156,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
157,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
158,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
159,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
160,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
161,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
162,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
163,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
164,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
165,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
166,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
167,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
168,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
169,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
170,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
171,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
172,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
173,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
174,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
175,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
176,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
177,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
178,I Kall ,I Kall Z7UltraSeries,Blue,343,35,4 GB,32 GB,15.9 cm (6.26 inch) Display,"5,989","6,299",4%
179,Tecno,Tecno Camon 19,SeaSaltWhite,195,21,6 GB,128 GB,,"14,980","15,449",3%
180,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
181,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
182,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","43,900",13
183,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","79,900",14
184,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
185,I Kall ,I Kall K3312,,"12,298","1,161",32 MB,64 MB,,999,"14,999",40
186,REDMI,REDMI 10 ,MidnightBlack,"1,70,664","10,998",4 GB,64 GB,,"8,999","19,999",40
187,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","43,900",13
188,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
189,DIZO,DIZO Star 300,,"9,590","1,140",32 MB,32 MB,,"1,485","17,999",38
190,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","14,999",20
191,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","11,999",37
192,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","23,999",37
193,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","10,999",27
194,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499",829,6%
195,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","11,999",37
196,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","10,999",40
197,I Kall ,I Kall KingTalking ContacticonandAuto,,"15,092","1,403",32 MB,32 MB,4.57 cm (1.8 inch) Display,774,"16,999",11
198,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
199,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
200,REDMI,REDMI 10 ,PacificBlue,"1,70,664","10,998",4 GB,64 GB,,"8,999","14,999",40
201,REDMI,REDMI 10 ,CaribbeanGreen,"1,70,664","10,998",4 GB,64 GB,,"8,999","79,900",14
202,APPLE,APPLE iPhone 14,Blue,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",20
203,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,64 GB,,"11,999","43,900",13
204,APPLE,APPLE iPhone 11,White,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","19,999",40
205,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,128 GB,,"11,999","17,999",38
206,POCO,POCO M4 Pro,CoolBlue,"1,34,237","12,247",6 GB,64 GB,,"10,999","16,999",11
207,POCO,POCO M4 Pro5G,CoolBlue,"35,159","3,125",4 GB,64 GB,,"14,999","43,900",13
208,APPLE,APPLE iPhone 11,Black,"1,78,400","10,573",,64 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,"37,999","17,999",38
209,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,64 GB,,"10,999","19,999",40
210,POCO,POCO M4 Pro,Yellow,"1,34,237","12,247",6 GB,128 GB,,"11,999","11,999",37
211,POCO,POCO C31 ,RoyalBlue,"1,87,995","11,329",4 GB,64 GB,,"7,499","23,999",37
212,SAMSUNG,SAMSUNG Galaxy F235G,ForestGreen,"1,40,978","11,531",6 GB,128 GB,,"14,999","10,999",27
213,MOTOROLA,MOTOROLA e40 ,CarbonGray,"59,846","5,853",4 GB,64 GB,,"7,999","16,999",23
214,SAMSUNG,SAMSUNG Galaxy F13,NightskyGreen,"1,11,744","6,424",4 GB,128 GB,,"12,999","11,999",37
215,POCO,POCO C31 ,ShadowGray,"1,87,995","11,329",4 GB,64 GB,,"7,499","14,999",20
216,SAMSUNG,SAMSUNG Galaxy F13,SunriseCopper,"1,11,744","6,424",4 GB,64 GB,,"11,999","10,999",27
217,MOTOROLA,MOTOROLA e40 ,PinkClay,"59,846","5,853",4 GB,64 GB,,"7,999","14,999",20
218,SAMSUNG,SAMSUNG Galaxy F13,WaterfallBlue,"1,11,744","6,424",4 GB,64 GB,,"11,999","19,999",15
219,POCO,POCO M4 Pro5G,CoolBlue,"43,191","3,849",6 GB,128 GB,,"16,999","9,999",28
220,REDMI,REDMI 9i Sport,CarbonBlack,"2,16,491","12,210",4 GB,64 GB,,"7,199","23,999",37
221,DIZO,DIZO Star 500,,"12,421","1,467",32 MB,32 MB,,"1,899","79,900",14
222,APPLE,APPLE iPhone 14,Midnight,"4,247",163,,128 GB,15.49 cm (6.1 inch) Super Retina XDR Display,"67,999","14,999",40
